type,hastype,1
howpublished,howpublished,1
volume,hasvolume,1
annote,hasannotation,1
month,hasmonth,1
copyright,hascopyright,1
unpublished,unpublished,1
address,hasaddress,1
chapter,haschapter,1
editor,haseditor,1
inbook,inbook,1
series,hasseries,1
date,hasyear,1
title,hastitle,1
booklet,booklet,1
url,hasurl,1
mastersthesis,mastersthesis,1
mrnumber,hasmrnumber,1
pages,haspages,1
techreport,techreport,1
edition,hasedition,1
lccn,haslccn,1
affiliation,hasaffiliation,1
institution,hasinstitution,1
year,hasyear,1
organization,hasorganization,1
publisher,haspublisher,1
school,hasschool,1
misc,misc,1
isbn,hasisbn,1
abstract,hasabstract,1
location,haslocation,1
article,article,1
price,hasprice,1
book,book,1
proceedings,hasbooktitle,1
phdthesis,phdthesis,1
proceedings,proceedings,1
number,hasnumber,1
reference,entry,1
incollection,incollection,1
author,hasauthor,1
note,hasnote,1
humancreator,humancreator,1
manual,manual,1
key,haskey,1
inproceedings,inproceedings,1
journal,hasjournal,1
keywords,haskeywords,1
issn,hasissn,1
contents,hascontents,1
size,hassize,1
